Languages,language_code
Bissa,bib
Dazaga,dzg
Tedaga,tuq
Southeast Ijo,ijs
Izon,ijc
Uduk,udu
Komo (Sudan-Ethiopia),xom
Opo,lgn
Kibet,kie
Runga,rou
Kachama-Ganjule-Haro,kcx
Zayse-Zergulla,zay
Koorete,kqy
Male (Ethiopia),mdy
Basketo,bst
Shekkacho,moy
Kafa,kbr
Dongola,dgl
Kenuzi,xnz
Nobiin,fia
Old Nubian,onw
Kacipo-Balesi,koe
Tennet,tex
Murle,mur
Me'en,mym
Omi,omi
Keliko,kbo
Beli (South Sudan),blm
Efe,efe
Mvuba,mxh
Lese,les
Bendi,bct
Yocoboué Dida,gud
Gagnoa Bété,btg
Kouya,kyf
Guiberoua Béte,bet
Daloa Bété,bev
Godié,god
Moroccan Sign Language,xms
Ugandan Sign Language,ugn
Ethiopian Sign Language,eth
Sierra Leone Sign Language,sgx
Guinean Sign Language,gus
Tunisian Sign Language,tse
South African Sign Language,sfs
Namibian Sign Language,nbs
Otoro,otr
Logol,lof
Mabaan,mfz
Jumjum,jum
Shilluk,shk
Päri,lkr
Belanda Bor,bxb
Anuak,anu
Acoli,ach
Northeastern Dinka,dip
Southwestern Dinka,dik
South Central Dinka,dib
Northwestern Dinka,diw
Southeastern Dinka,dks
Nuer,nus
Reel,atu
Pökoot,pko
Markweeta,enb
Kupsabiny,kpz
Sabaot,spy
Akie,mwy
Okiek,oki
Kipsigis,sgc
Teso,teo
Bari,bfa
Kuku,ukv
Sherbro,bun
Northern Kissi,kqs
Southern Kisi,kss
Senari,sef
Day,dai
Viemo,vig
Miyobe,soy
Baa,kwb
Attié,ati
Adangme,ada
Ga,gaa
Ikpana,lgq
Boro,xxb
Aja (Benin),ajg
Ajiri,afo
Ndunic,nfd
Arigidi,aqg
Ekpeye,ekp
Ebira,igb
Kutep,kub
Baissa Fali,fah
Tita,tdq
Akpes,ibe
North Fali,fll
South Fali,fal
Bassari-Tanda,bsc
Baga Mboteni,bgm
Saafi-Saafi,sav
Palor,fap
Ndut,ndv
Borgu Fulfulde,fue
Western Niger Fulfulde,fuh
Pulaar,fuc
Pular,fuf
Maasina Fulfulde,ffm
Kanyaki-Kagbaaga-Kajoko Bidyogo,bjg
Wolof,wol
Gambian Wolof,wof
Yanda Dom Dogon,dym
Ana Tinga Dogon,dti
Mesme,zim
Mukulu,moz
Sukur,syk
Jilbe,jie
Gidar,gid
Mbuko,mqb
Vame,mlr
Tamasheq,taq
Tawallammat Tamajaq,ttq
Tayart Tamajeq,thz
Tachelhit,shi
Central Moroccan Berber,tzm
Tarifiyt-Beni-Iznasen-Eastern Middle Atlas Berber,rif
Western Algerian Berber,cnu
Chaouia of the Aures,shy
Siwi,siz
Sawknah-Fogaha,swn
Qimant,ahg
Boon,bnl
Burji,bji
Kw'adza,wka
Tigrinya,tir
Geez,gez
Mann,mev
Manga-Dagera Kanuri,kby
Tarjumo,txj
Kanembu,kbl
Nkoroo,nkx
Oruma,orr
Massalat,mdg
Masalit,mls
Surbakhal,sbj
Kendeje,klf
Marfa,mvu
Maba (Chad),mde
Karanga,kth
Korana,kqz
Xiri,xii
Hai//om-Akhoe,hgm
Nama (Namibia),naq
Shua,shg
Oyda,oyd
Wolaytta,wal
Melo,mfx
Dorze,doz
El Hugeirat,elh
Karko,kko
Wali (Sudan),wll
Dilling,dil
Dair,drb
Uncunwee,ghl
Kadaru,kdu
Didinga,did
Narim,loh
Mursi,muz
Tirma-Chai,suq
Gula (Central African Republic),kcm
Kara (Central African Republic),kah
Vale,vae
Lutos,ndy
Nyamusa-Molo,nwm
Jur Modo,bex
Morokodo,mgc
Mo'da,gbn
Mittu,mwu
Liberian Grebo,grb
Mobumrin Aizi,ahm
Tiagbamrin Aizi,ahi
